(-0.311632,-0.52396)
(1.77643,-1.82313)
(-0.655211,-2.1318)
(1.01213,-0.339967)
(0.862282,-2.75788)
(-0.559306,-0.793879)
(1.76872,-1.38786)
(-0.400982,-2.39067)
(0.624682,-0.232065)
(1.19894,-2.52381)
(-0.696396,-1.11319)
(1.64843,-0.984238)
(-0.0764847,-2.55567)
(0.247645,-0.242969)
(1.45836,-2.21162)
(-0.72475,-1.45397)
(1.4244,-0.638197)
(0.286148,-2.60852)
(-0.0878688,-0.358814)
(1.62496,-1.83891)
(-0.631278,-1.78013)
(1.12974,-0.386421)
(0.653538,-2.55599)
(-0.35491,-0.574887)
(1.67092,-1.45034)
(-0.447511,-2.05022)
(0.794632,-0.233945)
(0.987567,-2.40399)
(-0.538806,-0.848319)
(1.61562,-1.06745)
(-0.186057,-2.25704)
(0.430885,-0.188941)
(1.25952,-2.14632)
(-0.614427,-1.14892)
(1.45956,-0.715836)
(0.143914,-2.35223)
(0.119398,-0.259363)
(1.45388,-1.8486)
(-0.587964,-1.45879)
(1.22606,-0.451221)
(0.467991,-2.36573)
(-0.167424,-0.405013)
(1.55787,-1.49774)
(-0.462654,-1.73912)
(0.935396,-0.265006)
(0.789872,-2.27547)
(-0.377124,-0.627808)
(1.55929,-1.14443)
(-0.260624,-1.96319)
(0.616461,-0.169717)
(1.07628,-2.0938)
(-0.498622,-0.89728)
(1.46596,-0.810855)
(0.00571643,-2.11148)
(0.302127,-0.175029)
(1.30055,-1.843)
(-0.527059,-1.18688)
(1.28818,-0.524876)
(0.308118,-2.1734)
(0.0149131,-0.275723)
(1.43939,-1.54103)
(-0.462016,-1.46152)
(1.04756,-0.307239)
(0.617681,-2.1426)
(-0.217054,-0.45319)
(1.49016,-1.21636)
(-0.310852,-1.70257)
(0.761498,-0.178577)
(0.898607,-2.01977)
(-0.375285,-0.681121)
(1.45032,-0.895807)
(-0.0933785,-1.87933)
(0.467848,-0.135812)
(1.13864,-1.82456)
(-0.450974,-0.943072)
(1.32695,-0.604826)
(0.171608,-1.98337)
(0.183466,-0.183174)
(1.31229,-1.56599)
(-0.432576,-1.20926)
(1.13466,-0.37283)
(0.454797,-2.00453)
(-0.061812,-0.311047)
(1.40452,-1.27729)
(-0.338833,-1.45401)
(0.888438,-0.204278)
(0.735209,-1.93591)
(-0.246445,-0.500273)
(1.41568,-0.975706)
(-0.166786,-1.65648)
(0.615894,-0.124039)
(0.979441,-1.79191)
(-0.361496,-0.728543)
(1.34397,-0.687104)
(0.0574779,-1.79359)
(0.343633,-0.120127)
(1.1824,-1.58227)
(-0.392683,-0.982509)
(1.19693,-0.436997)
(0.320235,-1.85722)
(0.0934101,-0.205148)
(1.3108,-1.32779)
(-0.341781,-1.22877)
(0.989198,-0.24977)
(0.583068,-1.8391)
(-0.114514,-0.350793)
(1.36508,-1.04442)
(-0.209865,-1.44255)
(0.749598,-0.137761)
(0.832085,-1.74796)
(-0.258172,-0.554939)
(1.33169,-0.774762)
(-0.0352316,-1.60359)
(0.492034,-0.0910077)
(1.04349,-1.58679)
(-0.336736,-0.779352)
(1.23335,-0.514001)
(0.194274,-1.70431)
(0.239789,-0.123354)
(1.20685,-1.36375)
(-0.325702,-1.01839)
(1.06854,-0.306648)
(0.445079,-1.72993)
(0.0235259,-0.233781)
(1.29448,-1.11524)
(-0.247152,-1.23722)
(0.859475,-0.158418)
(0.690737,-1.68437)
(-0.149194,-0.398122)
(1.30926,-0.849259)
(-0.100914,-1.41862)
(0.624539,-0.0803138)
(0.913994,-1.56768)
(-0.255921,-0.602794)
(1.25213,-0.597191)
(0.0930081,-1.55016)
(0.38029,-0.0760891)
(1.09103,-1.38773)
(-0.289472,-0.820579)
(1.13544,-0.375887)
(0.320944,-1.62114)
(0.153758,-0.144693)
(1.21285,-1.17092)
(-0.25911,-1.04535)
